Gene_Name,Gene_symbol,Human_entrez,Rat_entrez,Mouse_entrez,Synonym,DbTF,PMID,Uniprot_Human,Uniprot_Rat,Uniprot_mouse
NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4790,81736,18033,EBP-1|KBF1|NF-KB1|NF-KAPPA-B|NF-KAPPAB|NFKB-P105|NFKB-P50|NFKAPPAB|P105|P50,yes,1406630,P19838,F1LQH2,P25799
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,309452,18034,H2TF1|LYT-10|LYT10|NF-KB2|P105|P52,yes,8360178,Q00653,Q5U2Z4,"Q3UV15,Q3UG25,Q9WTK5"
NFKBIZ,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta",64332,304005,80859,IKBZ|INAP|MAIL,yes,20383124,Q9BYH8,D4A1S9,Q9EST8
NFX1,"nuclear transcription factor, X-box binding 1",4799,313166,74164,NFX2,yes,7964459,"A0JLR2,Q12986",D4AE50,B1AY10
NFXL1,"nuclear transcription factor, X-box binding-like 1",152518,289595,100978,HOZFP|URCC5,yes,8494791,"Q8J028,Q6ZNB6",F1LNF3,E9Q8I7
NFYA,"nuclear transcription factor Y, alpha",4800,29508,18044,CBF-A|CBF-B|HAP2|NF-YA,yes,"12070012, 15601870",P23511,P18576,"P23708,Q9DBV7,Q3UP82"
NFYC,"nuclear transcription factor Y, gamma",4802,25337,18046,CBF-C|CBFC|H1TF2A|HAP5|HSM|NF-YC,yes,10446203,"Q59GY4,Q13952,F8VWM3",Q62725,"A2A765,P70353"
NHLH1,nescient helix loop helix 1,4807,289230,18071,HEN1|NSCL|NSCL1|BHLHA35,yes,"8289804, 12878195","Q02575,Q5T203",D3ZN93,"Q02576,Q3UEV3"
NHLH2,nescient helix loop helix 2,4808,295327,18072,HEN2|NSCL2|BHLHA34,yes,15470499,Q02577,D4A265,Q64221
NKRF,NFKB repressing factor,55922,298316,77286,ITBA4|NRF,yes,10562553,"G3V1N1,A3F769,A3F768,O15226",,Q8BY02
NKX1-2,NK1 homeobox 2,390010,293568,20231,C10ORF121|NKX-1.1|BB238F13.2,yes,20932939,Q9UD57,D3Z9E2,P42580
NKX2-1,NK2 homeobox 1,7080,25628,21869,BCH|BHC|NK-2|NKX2.1|NKX2A|TEBP|TITF1|TTF-1|TTF1,yes,1976511,P43699,G3V740,"P50220,Q6PFE0"
NKX2-2,NK2 homeobox 2,4821,366214,18088,NKX2.2|NKX2B,yes,12426319,O95096,D3ZDQ2,"Q3URZ4,P42586,Q8BRS9"
NKX2-3,NK2 homeobox 3,159296,309389,18089,CSX3|NK2.3|NKX2.3|NKX2C|NKX4-3,yes,10790368,Q8TAU0,D3ZZC9,P97334
NKX2-5,NK2 homeobox 5,1482,114109,18091,CHNG5|CSX|CSX1|HLHS2|NKX2.5|NKX2E|NKX4-1|VSD3,yes,"9584181, 10318839","E9PBU6,P52952",O35767,"Q3UQU2,P42582"
NKX2-6,NK2 homeobox 6,137814,364418,18092,CSX2|NKX2F|NKX4-2,yes,15649947,A6NCS4,B1H280,"P43688,Q9CVN3"
NKX2-8,NK2 homeobox 8,26257,299061,18094,NKX2.8|NKX2H|NKX2-9,yes,12167706,O15522,D4A7B5,B2RWY9
NKX3-1,NK3 homeobox 1,4824,305999,18095,BAPX2|NKX3|NKX3.1|NKX3A,yes,10993896,Q99801,Q497B7,"P97436,Q3UVH8"
NKX3-2,NK3 homeobox 2,579,0,12020,BAPX1|NKX3.2|NKX3B|SMMD,yes,15703179,P78367,,P97503
NKX6-1,NK6 homeobox 1,4825,65193,18096,NKX6.1|NKX6A,yes,15883383,P78426,O35762,Q99MA9
NKX6-2,NK6 homeobox 2,84504,309095,14912,GTX|NKX6.2|NKX6B,yes,8096811,Q9C056,D3ZZX2,D3Z4R4
NKX6-3,NK6 homeobox 3,157848,685102,74561,NKX6.3,yes,18347062,A6NJ46,D3ZCL0,"Q3UHX8,B2RU70"
NOBOX,NOBOX oogenesis homeobox,135935,502759,18291,OG-2|OG2|OG2X|POF5|TCAG_12042,yes,"16997917, 16997917",O60393,D3ZXL8,Q8VIH1
NPAS1,neuronal PAS domain protein 1,4861,308387,18142,MOP5|PASD5|BHLHE11,yes,15347806,Q99742,D3ZJ66,"A2RSH6,P97459"
NPAS2,neuronal PAS domain protein 2,4862,316351,18143,MOP4|PASD4|BHLHE9,yes,11441146,"A2I2P5,Q99743",F1MAG2,"G3X9B7,Q32ME6,P97460"
NPAS3,neuronal PAS domain protein 3,64067,299016,27386,MOP6|PASD6|BHLHE12,yes,15347806,Q8IXF0,,F8VQB2
NPAS4,neuronal PAS domain protein 4,266743,266734,225872,LE-PAS|NXF|PASD10|BHLHE79,yes,14701734,Q8IUM7,Q8CJH6,Q8BGD7
NR0B1,"nuclear receptor subfamily 0, group B, member 1",190,58850,11614,AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2,yes,9384387,"F1D8P4,P51843",P70503,"Q53ZY9,Q61066"
NR1D1,"nuclear receptor subfamily 1, group D, member 1",9572,252917,217166,EAR1|THRA1|THRAL|EAR-1|HREV,yes,8622974,"P20393,F1D8S3","G3V9L8,Q63503",Q3UV55
NR1D2,"nuclear receptor subfamily 1, group D, member 2",9975,259241,353187,BD73|EAR-1R|RVR,yes,7838156,"B4DXD3,F1D8P2,Q14995",Q62702,"Q8C598,Q8C6J1,Q4VAB7,Q60674"
NR1H2,"nuclear receptor subfamily 1, group H, member 2",7376,58851,22260,LXR-B|LXRB|NER|NER-I|RIP15|UNR,yes,10187832,"B4DNM6,F1D8P7,P55055",Q62755,Q60644
NR1H3,"nuclear receptor subfamily 1, group H, member 3",10062,58852,22259,LXR-A|LXRA|RLD-1,yes,9013544,"Q8IW13,F1D8N1,B4DXU5,Q13133",Q5I035,"Q91X41,Q9Z0Y9"
NR1H4,"nuclear receptor subfamily 1, group H, member 4",9971,60351,20186,BAR|FXR|HRR-1|HRR1|RIP14,yes,11533040,"F8VYG8,Q96RI1,B6ZGS9,F1DAL1",Q62735,"D3YTT2,Q60641,Q3V1T8"
NR1H5P,"nuclear receptor subfamily 1, group H, member 5, pseudogene",643609,690430,381463,FXRB|NR1H5,yes,12529392,,,E9Q5A6
NR1I2,"nuclear receptor subfamily 1, group I, member 2",8856,84385,18171,BXR|ONR1|PAR|PAR1|PAR2|PARQ|PRR|PXR|SAR|SXR,yes,11114890,"F1D8P9,O75469",Q9R1A7,"O54915,Q0P525"
NR1I3,"nuclear receptor subfamily 1, group I, member 3",9970,65035,12355,CAR|CAR1|MB67,yes,8114692,"E9PHN4,E9PH10,Q6GZ78,Q6GZ79,Q4U0F0,E9PDU3,E9PHC8,Q6GZ76,Q14994,Q6GZ77,Q6GZ89,E9PB75,E9PC13,Q6GZ83,Q6GZ82,E9PGH6","Q9QUS1,Q402C0,Q402C1,Q5FVU7","Q5FW96,O35627"
NR2C1,"nuclear receptor subfamily 2, group C, member 1",7181,252924,22025,TR2,yes,12849971,"H9NIM2,P13056,H9NIM3",Q8VIJ4,Q505F1
NR2C2,"nuclear receptor subfamily 2, group C, member 2",7182,50659,22026,TAK1|TR2R1|TR4|HTAK1,yes,9556573,"P49116,F2YGU2,Q6PHZ7",P55094,"Q3ZAS1,P49117"
NR2E1,"nuclear receptor subfamily 2, group E, member 1",7101,684085,21907,TLL|TLX|XTLL,yes,11073974,"Q9Y466,B6ZGT9",A9Z0I4,"Q64104,Q78ZM1"
NR2E3,"nuclear receptor subfamily 2, group E, member 3",10002,0,23958,ESCS|PNR|RNR|RP37|RD7,yes,10220376,"B6ZGU0,Q9Y5X4,F1D8Q9",,"Q543C7,Q9QXZ7"
NR2F1,"nuclear receptor subfamily 2, group F, member 1",7025,81808,13865,COUP-TFI|EAR-3|EAR3|ERBAL3|NR2F2|SVP44|TCFCOUP1|TFCOUP1,yes,2739739,P10589,Q62681,"Q60632,Q32NY6"
NR2F2,"nuclear receptor subfamily 2, group F, member 2",7026,113984,11819,ARP1|COUPTFB|COUPTFII|NF-E3|NR2F1|SVP40|TFCOUP2,yes,8622679,"F1D8R0,P24468",O09018,"Q3UST6,D3YYP4,P43135"
NR2F6,"nuclear receptor subfamily 2, group F, member 6",2063,245980,13864,EAR-2|EAR2|ERBAL2,yes,12690040,"F1D8R3,P10588",O09017,P43136
NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",2908,24413,14815,GCCR|GCR|GR|GRL,yes,16728402,"F1D8N4,E5KQF6,P04150,E5KQF5","G3V7U9,P06536",E9PUR6
NR3C2,"nuclear receptor subfamily 3, group C, member 2",4306,25672,110784,MCR|MLR|MR|NR3C2VIT,yes,8389140,"Q2NKL1,P08235,B0ZBF5,B0ZBF6",P22199,A3KN90
NR4A1,"nuclear receptor subfamily 4, group A, member 1",3164,79240,15370,GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3,yes,16237153,"Q53Y00,P22736",P22829,"P12813,Q545Q1"
NR4A2,"nuclear receptor subfamily 4, group A, member 2",4929,54278,18227,HZF-3|NOT|NURR1|RNR1|TINUR,yes,"12122012, 15485875","F1D8N6,Q53EL4,P43354","Q07917,Q3LZI5","Q3TYI4,Q06219"
NR4A3,"nuclear receptor subfamily 4, group A, member 3",8013,58853,18124,CHN|CSMF|MINOR|NOR1|TEC,yes,10875239,Q92570,P51179,"B1AVI1,Q9QZB6"
NR5A1,"nuclear receptor subfamily 5, group A, member 1",2516,83826,26423,AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3,yes,19022561,"F1D8R8,Q13285",P50569,P33242
NR5A2,"nuclear receptor subfamily 5, group A, member 2",2494,60349,26424,B1F|B1F2|CPF|FTF|FTZ-F1|FTZ-F1BETA|LRH-1|LRH1|HB1F-2,yes,12456679,"F1D8R9,Q9UEC0,O00482",Q9QWM1,"P45448,Q1WLP7"
NR6A1,"nuclear receptor subfamily 6, group A, member 1",2649,362125,14536,GCNF|GCNF1|NR61|RTR,yes,9099702,"F1D8S0,Q15406",,Q64249
NRF1,nuclear respiratory factor 1,4899,312195,18181,ALPHA-PAL,yes,"9580677, 19674972","Q96AN2,Q16656",B1WC04,"G3XA39,Q8CAV3,Q8C4C0,Q3UYQ3,Q99K73,Q9WU00,Q3UXF4,E9Q7X0"
NRG1,neuregulin 1,3084,112400,211323,ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|NDF|SMDF,yes,15494726,"Q6PK61,B7Z1D7,B0FYA9,B0FWZ3,Q7RTW5,B7Z4Z3,Q02297,E9PHH4,B0FYA7,A6MW55,B0FYA8,Q7RTW3,A6MW56","D4ACB2,G3V7D6,G3V9Q0,P43322,D3ZC94,G3V7F0,G3V7E5,E9PSZ1",Q6DR99
NRL,neural retina leucine zipper,4901,290221,18185,D14S46E|NRL-MAF|RP27,yes,"8552602, 8552602, 17335001",P54845,D4ACF4,"P54846,Q543Y0"
OLIG1,oligodendrocyte transcription factor 1,116448,60394,50914,BHLHB6|BHLHE21,yes,18160645,Q8TAK6,Q9WUQ3,"Q3UN59,Q9JKN5"
OLIG2,oligodendrocyte lineage transcription factor 2,10215,304103,50913,BHLHB1|OLIGO2|PRKCBP2|RACK17|BHLHE19,yes,15655114,Q13516,G3V612,"Q542S0,Q9EQW6"
OLIG3,oligodendrocyte transcription factor 3,167826,293012,94222,BHLHB7|BHLHE20,yes,19088088,Q7RTU3,D4A572,Q6PFG8
ONECUT1,one cut homeobox 1,3175,25231,15379,HNF-6|HNF6|HNF6A,yes,16618419,Q9UBC0,P70512,O08755
ONECUT2,one cut homeobox 2,9480,307376,225631,OC-2|OC2,yes,11478782,O95948,,Q6XBJ3
ONECUT3,one cut homeobox 3,390874,366829,246086,OC3,yes,11944891,O60422,,Q8K557
OSR1,odd-skipped related 1 (Drosophila),130497,298878,23967,ODD,yes,19389375,Q8TAX0,B0K011,Q9WVG7
OSR2,odd-skipped related 2 (Drosophila),116039,315039,107587,-,yes,19389375,Q8N2R0,Q6AY34,Q91ZD1
OTP,orthopedia homeobox,23440,294640,18420,-,yes,"19383874, 20495559",Q5XKR4,G3V7E0,O09113
OTX1,orthodenticle homeobox 1,5013,25646,18423,-,yes,18849347,P32242,Q63410,"P80205,Q5SS54"
OTX2,orthodenticle homeobox 2,5015,305858,18424,CPHD6|MCOPS5,yes,12559959,"F1T0D1,P32243",,Q8VD35
OVOL1,ovo-like 1(Drosophila),5017,309164,18426,HOVO1,yes,17311813,O14753,D4A445,Q9WTJ2
OVOL2,ovo-like 2 (Drosophila),58495,296201,107586,EUROIMAGE566589|ZNF339,yes,"15225875, 19700410",Q9BRP0,D4A5U5,"Q3TIV4,Q8CIV7,A2ANA6"
PARP1,poly (ADP-ribose) polymerase 1,142,25591,11545,ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|PADPRT-1,yes,10023680,P09874,P27008,Q921K2
PATZ1,POZ (BTB) and AT hook containing zinc finger 1,23598,305471,56218,MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|DJ400N23,yes,10713105,Q9HBE1,D3ZX15,"Q5NBZ1,Q80XS2,Q9JMG9"
PAX1,paired box 1,5075,311505,18503,HUP48,yes,"12490554, 12490554",P15863,,P09084
PAX2,paired box 2,5076,293992,18504,PAPRS,yes,"11731455, 12756174, 12756174, 14561758",Q02962,D4ACZ2,P32114
PAX3,paired box 3,5077,114502,18505,CDHS|HUP2|WS1|WS3,yes,"12668617, 15688035","P23760,G5E9C1",,"Q8BRF1,Q3TZM4,P24610,Q3UGH9"
PAX4,paired box 4,5078,83630,18506,KPD|MODY9,yes,10567553,O43316,O88436,"A2RRY5,B7ZNC8,P32115"
PAX5,paired box 5,5079,500453,18507,BSAP,yes,"19139719, 8406007",Q02548,,"A2AKM9,Q02650"
PAX6,paired box 6,5080,25509,18508,AN|AN2|D11S812E|MGDA|WAGR,yes,12756174,"Q66SS1,F1T0F8,P26367",P63016,"A2A410,P63015,Q8VBX9,A2A411"
PAX7,paired box 7,5081,500574,18509,HUP1|PAX7B|RMS2,yes,15688409,"Q2PJS5,E9PFV9,P23759",D3ZRA8,"B1AXW9,P47239"
PAX8,paired box 8,7849,81819,18510,-,yes,1508216,Q06710,P51974,Q00288
PAX9,paired box 9,5083,362741,18511,STHAG3,yes,"12490554, 12490554, 14607846, 14607846","Q2L4T1,P55771",Q2L4T2,"P47242,Q3V1K1"
PBX1,pre-B-cell leukemia homeobox 1,5087,304947,18514,-,yes,12529389,"F5H4U9,Q53YC7,P40424,A8K5V0,B4DSC1","B1WC30,D3ZJI6","P41778,Q71VB4"
PBX2,pre-B-cell leukemia homeobox 2,5089,406164,18515,G17|HOX12|PBX2MHC,yes,19356220,P40425,Q6MG87,"Q4FJL3,O35984"
PBX3,pre-B-cell leukemia homeobox 3,5090,311876,18516,-,yes,15466398,"E9PB27,Q96AL5,P40426",D4AB31,"B1AXL8,O35317"
PBX4,pre-B-cell leukemia homeobox 4,80714,361131,80720,-,yes,17875925,Q9BYU1,D4AA41,Q99NE9
PCGF6,polycomb group ring finger 6,84108,309457,71041,MBLR|RNF134,yes,8521824,Q9BYE7,Q5XI70,Q99NA9
PDX1,pancreatic and duodenal homeobox 1,3651,29535,18609,GSF|IDX-1|IPF1|IUF1|MODY4|PDX-1|STF-1,yes,14704343,P52945,P52947,P52946
PEG3,paternally expressed 3,5178,246361,18616,PW1|ZNF904|ZSCAN24,yes,11161803,"Q9GZU2,A7E2B8,B4DIM4,Q96Q96",,Q3URU2
PGR,progesterone receptor,5241,25154,18667,NR3C3|PR,yes,17785366,"B4E3T0,P06401",Q63449,"Q8BW69,A6H6A5"
PGS1,phosphatidylglycerophosphate synthase 1,9489,303698,74451,-,yes,10432290,Q32NB8,D4A5W8,"B9EKS7,Q8BHF7"
PHB,prohibitin,5245,25344,18673,PHB1,yes,18480465,"A8K401,P35232",P67779,P67778
PHF10,PHD finger protein 10,55274,292404,72057,BAF45A|XAP135,yes,20530714,Q8WUB8,Q4V7A6,Q9D8M7
PHF20,PHD finger protein 20,51230,311575,228829,C20ORF104|GLEA2|HCA58|NZF|TZP,yes,22334668,Q9BVI0,D3ZQB7,"A2AV93,Q8BLG0"
PHF6,PHD finger protein 6,84295,100359714,70998,BFLS|BORJ|CENP-31,yes,15580208,"Q8IWS0,A8K230",D3ZQV8,Q9D4J7
PHF7,PHD finger protein 7,51533,364510,71838,HSPC045|HSPC226|NYD-SP6,yes,20410506,"Q9NS08,Q9BWX1",Q6AXW4,"A2RTI5,Q9DAG9"
PHOX2A,paired-like homeobox 2a,401,116648,11859,ARIX|CFEOM2|FEOM2|NCAM2|PMX2A,yes,11034547,O14813,Q62782,Q62066
PHOX2B,paired-like homeobox 2b,8929,364152,18935,NBLST2|NBPHOX|PMX2B,yes,11752063,Q99453,,O35690
PITX1,paired-like homeodomain 1,5307,113983,18740,BFT|CCF|POTX|PTX1,yes,8675014,P78337,Q99NA7,"Q3UQH0,P70314"
PITX2,paired-like homeodomain 2,5308,54284,18741,ARP1|BRX1|IDG2|IGDS|IGDS2|IHG2|IRID2|OTLX2|PTX2|RGS|RIEG|RIEG1|RS,yes,15728254,Q99697,Q9R0W1,"Q6DIA6,P97474"
PITX3,paired-like homeodomain 3,5309,29609,18742,CTPP4|PTX3,yes,11299318,O75364,P81062,O35160
PKNOX1,PBX/knotted 1 homeobox 1,5316,294322,18771,PREP1|PKONX1C,yes,10869353,"Q6PKH2,P55347,Q96I87",Q5BJP1,O70477
PKNOX2,PBX/knotted 1 homeobox 2,63876,680549,208076,PREP2,yes,11972344,Q96KN3,,Q8BG99
PLAG1,pleiomorphic adenoma gene 1,5324,297804,56711,PSA|SGPA|ZNF912,yes,"9722527, 10646861","Q6DJT9,B4DLC2",Q5U2T6,Q9QYE0
PLAGL1,pleiomorphic adenoma gene-like 1,5325,25157,22634,LOT1|ZAC|ZAC1,yes,"9671765, 9722527","A1YLA2,A1YLA1,Q9UM63",P70616,Q9JLQ4
PLAGL2,pleiomorphic adenoma gene-like 2,5326,296281,54711,ZNF900,yes,9722527,Q9UPG8,D3ZTE9,Q925T4
PLSCR1,phospholipid scramblase 1,5359,117540,22038,MMTRA1B,yes,16091359,O15162,P58195,Q9JJ00
POU1F1,POU class 1 homeobox 1,5449,25517,18736,CPHD1|GHF-1|PIT1|POU1F1A|PIT-1,yes,19887646,P28069,Q6P7Q8,Q00286
POU2F1,POU class 2 homeobox 1,5451,171068,18986,OCT1|OTF1|OCT-1B,yes,1980478,"J3KP77,P14859",P31503,"F8VQL7,P25425,E9Q6Z8"
POU2F2,POU class 2 homeobox 2,5452,117058,18987,OCT2|OTF2|OCT-2,yes,2904653,P09086,,Q00196
POU2F3,POU class 2 homeobox 3,25833,116544,18988,EPOC-1|OCT-11|OCT11|OTF-11|PLA-1|PLA1|SKN-1A,yes,12624109,Q9UKI9,G3V754,"H3BJT4,Q3U5D1"
POU3F1,POU class 3 homeobox 1,5453,192110,18991,OCT6|OTF6|SCIP,yes,"1705013, 1979677",Q03052,P20267,"Q3UTH6,P21952"
POU3F2,POU class 3 homeobox 2,5454,29588,18992,BRN2|N-OCT3|OCT7|OTF-7|OTF7|POUF3|BRN-2|OCT-7,yes,15262984,P20265,P56222,P31360
POU3F3,POU class 3 homeobox 3,5455,192109,18993,BRN1|OTF8,yes,9671582,P20264,Q63262,P31361
POU3F4,POU class 3 homeobox 4,5456,29589,18994,BRAIN-4|BRN4|DFN3|DFNX2|OTF-9|OTF9|BRN-4|OCT-9,yes,21555964,P49335,P62516,"P62515,A6H6L6"
POU4F1,POU class 4 homeobox 1,5457,114503,18996,BRN3A|OCT-T1|RDC-1|BRN-3A,yes,12810599,Q01851,,P17208
POU4F2,POU class 4 homeobox 2,5458,171355,18997,BRN3.2|BRN3B|BRN-3B,yes,17637757,Q12837,G3V7L5,Q63934
POU4F3,POU class 4 homeobox 3,5459,364855,18998,BRN3C|DFNA15,yes,15465029,Q15319,D3ZTL1,Q63955
POU5F1,POU class 5 homeobox 1,5460,294562,18999,OCT3|OCT4|OTF-3|OTF3|OTF4|OCT-3|OCT-4,yes,12615074,"D2IYK3,Q01860",Q6MG27,P20263
POU6F1,POU class 6 homeobox 1,5463,116545,19009,BRN5|MPOU|TCFB1,yes,8645295,Q14863,P56223,Q07916
POU6F2,POU class 6 homeobox 2,11281,681092,218030,RPF-1|WT5|WTSL,yes,8601806,P78424,A1A5R6,Q8BJI4
PPARA,peroxisome proliferator-activated receptor alpha,5465,25747,19013,NR1C1|PPAR|PPARALPHA|HPPAR,yes,"1537328, 9748239","Q07869,F1D8S4",P37230,"Q542P9,P23204"
PPARD,peroxisome proliferator-activated receptor delta,5467,25682,19015,FAAR|NR1C2|NUC1|NUCI|NUCII|PPARB,yes,20160399,"B4E3V3,F1D8S7,E9PE18,Q03181",Q99ND3,"Q546I3,P35396"
PPARG,peroxisome proliferator-activated receptor gamma,5468,25664,19016,CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARGAMMA,yes,11139380,"P37231,D2KUA6",O88275,"Q4FJR2,Q6GU14,P37238"
PRDM1,"PR domain containing 1, with ZNF domain",639,309871,12142,BLIMP1|PRDI-BF1,yes,1851123,"B4DW27,O75626",,Q60636
PRDM10,PR domain containing 10,56980,500964,382066,PFM7,yes,12175877,"G3XAE5,J3KP23,Q9NQV6",,D3YYD1
PRDM12,PR domain containing 12,59335,688699,381359,PFM9,yes,19050759,Q9H4Q4,D3ZEJ0,A2AJ77
PRDM13,PR domain containing 13,59336,689695,230025,MU-MB-20.220|PFM10,yes,19050759,Q9H4Q3,,E9PZZ1
PRDM14,PR domain containing 14,63978,297769,383491,PFM11,yes,21183938,Q9GZV8,,E9Q3T6
PRDM15,PR domain containing 15,63977,304054,114604,C21ORF83|PFM15|ZNF298,yes,16618722,"Q4W8S5,P57071,E9PF37",D3ZQ99,E9Q8T2
PRDM16,PR domain containing 16,63976,0,70673,MEL1|PFM13,yes,19050759,Q9HAZ2,,"A2A935,A2A934"
PRDM2,"PR domain containing 2, with ZNF domain",7799,313678,110593,HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2,yes,"7590293, 8654390","Q5THJ1,Q13029,B1AJZ4",Q63755,"B9EKQ3,Q8C2W5,A2A7B5"
PRDM4,PR domain containing 4,11108,170820,72843,PFM1,yes,10552934,"B3KPI0,Q9UKN5",Q9QZP2,Q80V63
PRDM5,PR domain containing 5,11107,689788,70779,BCS2|PFM2,yes,17636019,Q9NQX1,,Q9CXE0
PREB,prolactin regulatory element binding,10113,58842,50907,SEC12,yes,10194769,Q9HCU5,Q9WTV0,"Q3UAP1,Q9WUQ2"
PROP1,PROP paired-like homeobox 1,5626,266738,19127,CPHD2|PROP-1,yes,11064154,O75360,Q8CJH7,P97458
PROX1,prospero homeobox 1,5629,305066,19130,-,yes,21040746,Q92786,D3ZU00,P48437
PRRX1,paired related homeobox 1,5396,266813,18933,AGOTC|PHOX1|PMX1|PRX-1|PRX1,yes,1360403,P54821,P63014,"P63013,G3UZ44"
PRRX2,paired related homeobox 2,51450,113931,20204,PMX2|PRX2,yes,12713735,Q99811,D3ZLB3,"Q06348,A2APZ7"
PTF1A,"pancreas specific transcription factor, 1a",256297,117034,19213,PTF1-P48|BHLHA29,yes,2294404,Q7RTS3,Q64305,"A2ATA7,Q9QX98"
PTH,parathyroid hormone,5741,24694,19226,PTH1,yes,17696759,P01270,P04089,Q9Z0L6
PURA,purine-rich element binding protein A,5813,307498,19290,PUR-ALPHA|PUR1|PURALPHA,yes,1545807,Q00577,,P42669
PURB,purine-rich element binding protein B,5814,498407,19291,PURBETA,yes,12874279,Q96QR8,Q68A21,O35295
RAD21,RAD21 homolog (S. pombe),5885,314949,19357,CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|HHR21,yes,22780989,O60216,Q4KLH7,"Q3TG35,Q61550"
RAI1,retinoic acid induced 1,10743,303188,19377,SMCR|SMS,yes,20738874,Q7Z5J4,D4A4Z4,"Q5QGZ6,Q61818,Q810L5"
RARA,"retinoic acid receptor, alpha",5914,24705,19401,NR1B1|RAR,yes,7908827,"A8K840,F1D8N9,P10276,Q6I9R7",Q499N1,"Q3U3R3,P11416"
RARB,"retinoic acid receptor, beta",5915,24706,218772,HAP|NR1B2|RRB2,yes,2153268,"P10826,Q5QHG3,F1D8S6",,"Q6DFX0,P22605"
RARG,"retinoic acid receptor, gamma",5916,685072,19411,NR1B3|RARC,yes,"2544807, 15327771","A8K3H3,P13631,B7Z4F1,J3KNP6,B7Z4B4,B7Z492,F1D8P1","D3ZF61,D3ZWV0",P18911
RAX,retina and anterior neural fold homeobox,30062,114213,19434,MCOP3|RX,yes,10625658,Q9Y2V3,Q9JLT7,O35602
RAX2,retina and anterior neural fold homeobox 2,84839,0,0,ARMD6|CORD11|QRX|RAXL1,yes,15028672,Q96IS3,,
RBPJ,recombination signal binding protein for immunoglobulin kappa J region,3516,679028,19664,AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|CSL,yes,16439682,Q06330,,"Q6R5E9,P31266,E9Q7W0,Q3UM17"
RBPJL,recombination signal binding protein for immunoglobulin kappa J region-like,11317,362268,19668,RBP-L|RBPSUHL|SUH|SUHL,yes,"9111338, 9111338, 9111338, 16354684",Q9UBG7,D4AEG0,"Q3V2I2,O08674"
RCOR1,REST corepressor 1,23186,314458,217864,COREST|RCOR,yes,10449787,"J3KN32,Q9UKL0",B5DEY2,Q8CFE3
REL,v-rel reticuloendotheliosis viral oncogene homolog (avian),5966,305584,19696,C-REL,yes,1406630,Q04864,,A4QPD3
RELA,v-rel reticuloendotheliosis viral oncogene homolog A (avian),5970,309165,19697,NFKB3|P65,yes,"1935902, 15485852, 15857826",Q04206,Q7TQN4,"Q04207,Q548Y4"
RELB,v-rel reticuloendotheliosis viral oncogene homolog B,5971,100360982,19698,I-REL|IREL|REL-B,yes,8183565,Q01201,,Q04863
REST,RE1-silencing transcription factor,5978,83618,19712,NRSF|XBR,yes,15240883,Q13127,O54963,Q8VIG1
RFX1,"regulatory factor X, 1 (influences HLA class II expression)",5989,288906,19724,EFC|RFX,yes,10330134,P22670,D3ZQ82,P48377
RFX2,"regulatory factor X, 2 (influences HLA class II expression)",5990,301121,19725,-,yes,8289803,P48378,B2GV50,P48379
RFX3,"regulatory factor X, 3 (influences HLA class II expression)",5991,361746,19726,BA32F11.1,yes,10330134,P48380,Q5U2M9,P48381
RFX4,"regulatory factor X, 4 (influences HLA class II expression)",5992,500818,71137,NYD-SP10,yes,11682486,Q33E94,,Q7TNK1
RFX5,"regulatory factor X, 5 (influences HLA class II expression)",5993,310659,53970,-,yes,"9806546, 12697811, 9177217",P48382,D3ZHD7,"Q9JL61,Q0P5W9"
RFX6,"regulatory factor X, 6",222546,294395,320995,MTFS|RFXDC1|DJ955L16.1,yes,18673564,Q8HWS3,,Q8C7R7
RFX7,"regulatory factor X, 7",64864,315804,319758,RFXDC2,yes,18673564,Q2KHR2,E9PT49,"F8VPJ6,Q8C1T6"
RHOX5,reproductive homeobox 5,0,24631,18617,PEM,yes,18184911,,Q63630,"Q4TU88,Q3UJH4"
RHOXF2,"Rhox homeobox family, member 2",84528,0,0,CT107|PEPP-2|PEPP2|THG1,yes,12490318,Q9BQY4,,
RHOXF2B,"Rhox homeobox family, member 2B",727940,0,0,-,yes,20081217,P0C7M4,,
RNF112,ring finger protein 112,7732,24916,22671,BFP|ZNF179,yes,20071532,Q9ULX5,O70418,Q96DY5
RNF141,ring finger protein 141,50862,308900,67150,ZFP26|ZNF230,yes,12804569,Q8WVD5,Q6IV57,Q99MB7
